:START_ID,:END_ID,:TYPE,note
492,493,限制,形成腹胀、气壅、气滞
492,126,限制,同食严重会导致死亡
492,378,限制,二物同属凉性，且滋腻易伤肠胃
492,494,限制,同食易产生便秘
495,496,限制,同食严重会死亡
501,502,限制,二者都不易消化，同炖共炒都不相宜，甚至可能同吃还会引起呕吐
503,67,限制,同食会引起身体不适
176980,497,限制,猪肝中含有的铜、铁能使维生素C氧化为脱氢抗坏血酸而失去原来的功能
176980,504,限制,可产生不良的生化反应，有害于人体
176980,505,限制,可产生不良的生化反应
501,506,限制,二者功能相反，不宜同食
501,507,限制,二者功能相反，不宜同食
501,191865,限制,醋宜与寒性食物相配，而羊肉大热，不宜配醋
501,103,限制,同食影响营养成份吸收
458,462,限制,同食伤元气
458,509,限制,同食严重会导致死亡
412,510,限制,两者共食，恐助火热，无益于健康
412,270,限制,
412,126,限制,同食会中毒
412,250,限制,同食会引起身体不适
412,511,限制,会引起痢疾
412,401,限制,同食严重会导致死亡
462,512,限制,同食会腹痛
462,513,限制,同食会中毒
321,60,限制,引起肠胃功能紊乱，导致腹泻
321,510,限制,性味相反不宜同食
321,462,限制,易产生刺激肠胃道的物质而引起腹泻
321,304,限制,寒热同食，易致腹泻
321,320,限制,容易引起腹泻和呕吐
301,494,限制,产生便秘，代谢产生的有毒物质和致癌物积滞肠内被动吸收，不利于健康
301,270,限制,同食助火，容易损人
301,304,限制,同食会腹痛
301,511,限制,会引起痢疾
301,389,限制,同食会胀破肚皮
447,517,限制,久食令人阳虚，水肿腹泻
518,519,限制,同食易得霍乱
523,176980,限制,二者起生化反应，不利于健康
524,525,限制,同食会影响消化
526,497,限制,生成砒霜，有剧毒
374,10,限制,二者同食，伤人肠胃
374,317,限制,二者同食，伤人肠胃
374,529,限制,易导致腹泻
374,530,限制,必导致腹泻
374,531,限制,刺激胃肠，出现腹痛、恶心、呕吐等症状
374,532,限制,易导致腹泻
374,512,限制,容易在体内凝成柿石
374,284,限制,同食会引起蛋白质的吸收
386,533,限制,同食容易患寒热病
534,535,限制,同食会引起中毒
536,537,限制,海味食物中的钙质与鞣酸结合成一种新的不易消化的鞣酸钙，它能刺激肠胃并引起不适感，出现肚子痛、呕吐、恶心或腹泻等症状。含鞣酸较多的水果有柿子、葡萄、石榴、山楂、青果等
539,284,限制,同食会引起腹泻
541,542,限制,同食难以消化
541,462,限制,
541,447,限制,同食会便秘
378,532,限制,有损肠胃
378,519,限制,不利于消化
378,543,限制,导致消化不良或腹泻
378,503,限制,不易消化，会引起腹胀
378,176946,限制,同食会肠绞痛
378,539,限制,同食会中毒
378,544,限制,同食会引起腹痛、呕吐
378,545,限制,同食容易中毒
548,549,限制,孕妇吃了会影响胎儿健康
370,317,限制,同食容易引起霍乱
284,299,限制,芹菜中的维生素C将会被分解破坏，降低营养价值
284,550,限制,芹菜会将蚬、蛤、毛蚶、蟹中所含的维生素B1全部破坏
284,539,限制,芹菜会将蚬、蛤、毛蚶、蟹中所含的维生素B1全部破坏
284,551,限制,芹菜会将蚬、蛤、毛蚶、蟹中所含的维生素B1全部破坏
284,549,限制,芹菜会将蚬、蛤、毛蚶、蟹中所含的维生素B1全部破坏
284,126,限制,同食会引起呕吐
284,412,限制,同食会伤元气
299,190558,限制,柑橘中的维生素C会被黄瓜中的分解酶破坏
299,498,限制,辣椒中的维生素C会被黄瓜中的分解酶破坏
299,552,限制,花菜中的维生素C会被黄瓜中的分解酶破坏
553,301,限制,共增火热
553,554,限制,辛热助火
553,420,限制,形成草酸钙，造成了对钙的吸收困难，导致人体内钙质的缺乏
270,286,限制,同食会伤胃
555,193532,限制,同食会引起腹泻
247,272,限制,白萝卜中的维生素C会被胡萝卜中的分解酶破坏殆尽
317,534,限制,同食会中毒
498,247,限制,辣椒中的维生素C会被胡萝卜中的分解酶破坏
275,503,限制,同食容易中毒
275,435,限制,火上加油
393,534,限制,同食易导致腹泻
393,299,限制,同食易导致腹泻
546,435,限制,同食会感觉胸闷，气短
546,512,限制,同食会得结石病、呕吐、腹痛、腹泻
546,247,限制,西红柿中的维生素C会被胡萝卜中的分解酶破坏
546,534,限制,同食会引起腹泻
176048,546,限制,同食会导致食欲不佳，消化不良
280,558,限制,同食会把维生素B1破坏尽
528,559,限制,黄豆所含的化学成分会影响酸牛奶中丰富的钙质的吸收
10,560,限制,吃梨喝开水，必致腹泻
191865,561,限制,影响人体对营养的吸收
191865,562,限制,使其营养价值大减
191865,247,限制,胡萝卜素就会完全被破坏了
563,564,限制,使炒出的菜无鲜嫩味，肉质变硬
565,558,限制,应在鱼的蛋白质凝固后再加入生姜以发挥去腥增香的效能
567,568,限制,食糖过多会阻碍人体对铜的吸收
566,569,限制,同食会引起中毒
570,571,限制,同吃会中毒，严重会导致死亡
570,572,限制,同吃会中毒
566,573,限制,同食会引起中毒
574,462,限制,破坏鸡蛋的天然鲜味
494,575,限制,糖会抑制茶中清热解毒的效果
494,462,限制,影响人体对蛋白质的吸收和利用
494,576,限制,酒后饮茶，使心脏受到双重刺激，兴奋性增强，更加重心脏负担
494,501,限制,容易发生便秘
494,577,限制,影响药物吸收
579,580,限制,同食会降低人体对钙的吸收
582,583,限制,使汤的味道不鲜美
560,584,限制,破坏营养
590,591,限制,不仅牙齿受到刺激，易得牙病，对胃肠也有害
592,593,限制,对人体消化系统极为有害，使胃的消化功能越变越差
576,594,限制,导致血糖上升，影响糖的吸收，容易产生糖尿
435,503,限制,火上浇油，容易引起牙齿发炎
435,247,限制,同食易使肝脏中毒
595,596,限制,同食会引起心绞痛
599,546,限制,同食会中毒
589,526,限制,同食会腹泻
601,534,限制,同食会引起中毒
546,13345,限制,同食易产生致癌物
13512,546,限制,食物中的维生素C会对鱼肉中营养成分的吸收产生抑制作用
576,13630,限制,火上浇油，加重对大脑的伤害，刺激血管扩张，极大地增加心血管负担，甚至危及生命
13630,578,限制,容易导致胰腺癌
13662,598,限制,同食会引发痛风症
13662,592,限制,这样喝啤酒很少有不醉的
13662,597,限制,有致癌或诱发消化道疾病的可能
435,13662,限制,导致胃痉挛、急性胃肠炎、十二指肠炎等症，同时对心血管的危害也相当严重
412,13925,限制,性味不反但功能相乘
515,13925,限制,同食会上火
301,13925,限制,二者生化反应极为复杂，可能产生不利于人体的物质
13925,521,限制,可引起消化道癌肿
13925,522,限制,同食会中毒
284,13943,限制,同食会中毒
13951,528,限制,同食会影响消化
13951,527,限制,同食会中毒
508,13952,限制,同食会引起中毒
14932,503,限制,同食会引起中毒
15085,581,限制,药物会破坏豆浆的营养成分或豆浆影响药物的效果
15085,462,限制,阻碍蛋白质的分解
566,15085,限制,不利于吸收
462,15085,限制,降低人体对蛋白质的吸收率
15104,514,限制,癌症患者不宜同食
13925,15190,限制,
15252,301,限制,二者同食，温热助火作用更强，不利于常人
13925,15274,限制,同食会影响消化
15274,14990,限制,猪肝中含有的铜、铁能使维生素C氧化为脱氢抗坏血酸而失去原来的功能
546,15274,限制,猪肝使西红柿中的维生素C氧化脱氧，失去原来的抗坏血酸功能
15274,497,限制,引起不良生理效应，面部产生色素沉着
15274,500,限制,猪肝中的铜会加速豆芽中的维生素C氧化，失去其营养价值
15274,499,限制,同食会消化不良，还会引起中毒
15274,297,限制,同食会影响消化
15274,498,限制,猪肝中含有的铜、铁能使维生素C氧化为脱氢抗坏血酸而失去原来的功能
528,15287,限制,同食会消化不良
538,15287,限制,同食会便秘
15287,193532,限制,会引起身体不适
15390,15274,限制,同食具有刺激作用
15390,492,限制,二者起生化反应，不利于健康
15390,237,限制,同食会使身体脱水
16139,508,限制,同食会引起中毒
492,16139,限制,共烹炒易产生怪味
534,16205,限制,同食会引起中毒
374,16205,限制,功能正好相反，不宜同吃
516,16205,限制,阴虚火盛者忌食
492,16242,限制,同食会引起中毒
547,16369,限制,同食会引起中毒
576,16369,限制,导致脂肪肝，增加有毒物质的形成，降低奶类的营养价值，有害健康
566,16369,限制,使牛奶的营养价值大大降低
16369,585,限制,导致维生素A大量损失
16369,589,限制,降低牛奶的营养价值
16369,275,限制,影响钙的吸收
16369,581,限制,降低了药物在血液中的浓度，影响疗效
16369,588,限制,牛奶中的钙与巧克力中的草酸结合成草酸钙，可造成头发干枯、腹泻，出现缺钙和生长发育缓慢
16369,60,限制,引起胃炎或胃蠕动异常
16369,587,限制,凡酸性饮料，都会牛奶pH值下降，使牛奶中的蛋白质凝结成块，不利于消化吸收
16369,586,限制,牛奶中的蛋白和钙结合发生沉淀，不易吸收
13925,16423,限制,同食会中毒
498,16423,限制,辣椒中的维生素C会被南瓜中的分解酶破坏
540,16423,限制,同食会中毒
374,16423,限制,同食会引起中毒
16423,497,限制,维生素C会被南瓜中的分解酶破坏
16423,526,限制,同食会引起痢疾
16423,501,限制,两补同时，令人肠胃气壅
16139,16629,限制,同食会引起中毒
501,16629,限制,同食会引起中毒
566,16629,限制,形成赖氨酸糖基，对人体不利
16629,557,限制,同食会引起中毒
435,16878,限制,易致血热，轻者燥咳，严重时会出鼻血
492,16941,限制,伤肾脏
559,16986,限制,同食易产生致癌物
176048,16986,限制,同食面部会生斑
16369,17106,限制,同食会引起痢疾
17106,15252,限制,同食易导致腹泻
299,17106,限制,菠菜中的维生素C会被黄瓜中的分解酶破坏
17106,420,限制,菠菜中的草酸与豆府中的钙形成草酸钙，使人体的钙无法吸收
17106,507,限制,乳酪所含的化学成分会影响菠菜中丰富的钙质的吸收
17106,299,限制,维生素C会被破坏尽
15274,17201,限制,降低人体对两物中营养元素的吸收
16369,17201,限制,菜花的含的化学成分影响钙的消化吸收
17427,520,限制,同食会引起心痛，严重会致命
541,17884,限制,二物皆属凉性，不宜同食
17915,60,限制,诱发或导致甲状腺肿
17915,519,限制,同食会得皮炎
17915,193532,限制,性寒滑
15390,18098,限制,同食会中毒
15085,18098,限制,豆浆中的蛋白质比牛奶高，两者冲对，产生变性沉淀，不能被人体吸收
14198,18098,限制,同食会伤眼睛，引起眼睛不适，严重会失明
18098,600,限制,同食会胃痛
18098,275,限制,易导致腹泻
18098,420,限制,易导致腹泻
18098,560,限制,会改变蜂蜜甜美的味道，使其产生酸味
556,18098,限制,同食易导致腹泻
270,18098,限制,性质相反
