诊断方法:ID,:LABEL,name
18109,诊断方法,明胶液化试验
18110,诊断方法,指脉氧
18111,诊断方法,周围血白细胞计数及分类检验
18112,诊断方法,唾液钾
18113,诊断方法,精液颜色
18114,诊断方法,最大胃液分泌量
18115,诊断方法,抗Jo-1抗体
18116,诊断方法,痰液中弹力纤维
18117,诊断方法,碳源利用试验
18118,诊断方法,浅感觉检查
18119,诊断方法,尿钠
18120,诊断方法,肘后三角检查
18121,诊断方法,预产期推算
18122,诊断方法,血清谷胱甘肽过氧化物酶
18123,诊断方法,X线碘油造影
18124,诊断方法,深吸气量（IC）
18125,诊断方法,引颈试验
18126,诊断方法,血栓素B2
18127,诊断方法,尿co2测定
18128,诊断方法,泪膜破裂时间
18129,诊断方法,E-玫瑰花环形成试验
18130,诊断方法,直肠镜检查
18131,诊断方法,抗SS-A和SS-B抗体
18132,诊断方法,织网红细胞计数
18133,诊断方法,细胞角蛋白19片段抗原（CYFRA21-1）
18134,诊断方法,足轴线偏移
18135,诊断方法,真菌的分离与鉴定
18136,诊断方法,胸膜摩擦感
18137,诊断方法,精液乳酸脱氢酶-X
18138,诊断方法,蝇蛆检查
18139,诊断方法,尿促卵泡成熟素
18140,诊断方法,血液碳氧血红蛋白
18141,诊断方法,缩胆囊素
18142,诊断方法,血浆组织纤溶酶原活化物抗原检测
18143,诊断方法,角膜检查
18144,诊断方法,β-半乳糖苷酶试验
18145,诊断方法,肺泡-动脉氧分压差（PA-aDO2）
18146,诊断方法,出血时间
18147,诊断方法,胎盘泌乳素（PL）
18148,诊断方法,尿6-酮-前列素F1a
18149,诊断方法,血清α1微球蛋白（α1-MG）
18150,诊断方法,尿血红蛋白定性
18151,诊断方法,同色表检查法
18152,诊断方法,泪滴状红细胞
18153,诊断方法,抗血小板抗体
18154,诊断方法,抑癌基因Rb
18155,诊断方法,儿童体检
18156,诊断方法,尿锌
18157,诊断方法,深反射检查
18158,诊断方法,不孕的生殖系统检查
18159,诊断方法,不规则抗体筛选
18160,诊断方法,甲状旁腺显像
18161,诊断方法,侧方应力试验
18162,诊断方法,尿瘘检测
18163,诊断方法,抗组织相容性抗原-DR抗体（抗-HLA-DR）
18164,诊断方法,尿亮氨酸氨基肽酶
18165,诊断方法,羊水泡沫试验
18166,诊断方法,周围血管征
18167,诊断方法,羊水与尿液鉴别试验
18168,诊断方法,电子胃镜
18169,诊断方法,全血镉
18170,诊断方法,羊水细胞培养染色体检查
18171,诊断方法,甲状旁腺激素（PTH)
18172,诊断方法,粪寄生虫卵
18173,诊断方法,弥散容量测定
18174,诊断方法,腹部外形触诊
18175,诊断方法,粪特里布累
18176,诊断方法,血清铯
18177,诊断方法,T3T4抗体
18178,诊断方法,一小时尿沉渣计数
18179,诊断方法,肿瘤前哨淋巴结显像
18180,诊断方法,线索细胞
18181,诊断方法,血清免疫球蛋白G（IgG）
18182,诊断方法,抗心磷脂抗体（ACA）
18183,诊断方法,睫状血管检查法
18184,诊断方法,补液试验
18185,诊断方法,肺部检查
18186,诊断方法,体液免疫检测法
18187,诊断方法,输精管造影
18188,诊断方法,尿果糖
18189,诊断方法,痰液气味
18190,诊断方法,颗粒膜蛋白-140
18191,诊断方法,洛日埃征
18192,诊断方法,卵磷脂小体
18193,诊断方法,唾液中的细胞
18194,诊断方法,鞠躬试验
18195,诊断方法,唾液肌酐
18196,诊断方法,呼吸动度
18197,诊断方法,5＇-核苷酸酶
18198,诊断方法,尿睾酮
18199,诊断方法,流式细胞DNA分析
18200,诊断方法,白带pH值
18201,诊断方法,甲状腺结合球蛋白（TBG）
18202,诊断方法,红细胞变形性
18203,诊断方法,脑脊液蛋白定性
18204,诊断方法,功能残气量（FRC）
18205,诊断方法,腹股沟外环冲击试验
18206,诊断方法,尿胆原（URO）
18207,诊断方法,髂胫束紧张试验
18208,诊断方法,冠状动脉CT检查
18209,诊断方法,转头试验
18210,诊断方法,脑脊液铅
18211,诊断方法,血清过氧化脂质
18212,诊断方法,强弱
18213,诊断方法,脑脊液病原体检查
18214,诊断方法,T管造影
18215,诊断方法,痰液显微镜检查
18216,诊断方法,乳房淋巴结实验
18217,诊断方法,大型血小板比例(P-LCR)
18218,诊断方法,尿铜
18219,诊断方法,无离子水（自由水）清除率
18220,诊断方法,精囊检查
18221,诊断方法,叠氮高铁血红蛋白
18222,诊断方法,纤维蛋白溶解时间
18223,诊断方法,螺旋体蛋白补体结合试验
18224,诊断方法,包皮包茎检查
18225,诊断方法,眼压描记检查法
18226,诊断方法,"维生素K(VitK,VK)"
18227,诊断方法,痰液细胞学检查
18228,诊断方法,盆腔MRI检查
18229,诊断方法,中枢神经递质和受体显像
18230,诊断方法,颞下颌关节造影
18231,诊断方法,输卵管亚甲蓝通畅试验
18232,诊断方法,尿肾上腺素
18233,诊断方法,可提取核抗原（ENA）自身抗体谱带分析
18234,诊断方法,握拳尺偏试验
18235,诊断方法,血管壁的检测
18236,诊断方法,腹部血管杂音
18237,诊断方法,梅毒螺旋体抗体
18238,诊断方法,鼻腔检查
18239,诊断方法,骨盆内测量
18240,诊断方法,Cochet和Bonnet氏角膜知觉测量计
18241,诊断方法,尿素酶试验
18242,诊断方法,胃液潜血试验
18243,诊断方法,降钙素
18244,诊断方法,血液葡萄糖
18245,诊断方法,钼
18246,诊断方法,外阴部妇科常规检查
18247,诊断方法,抗登革病毒IgG抗体
18248,诊断方法,血浆蛋白C抗原
18249,诊断方法,氧化酶试验
18250,诊断方法,单相琼脂扩散试验
18251,诊断方法,糖链抗原242
18252,诊断方法,抗角蛋白抗体(AKA)
18253,诊断方法,脑脊液免疫球蛋白
18254,诊断方法,寄生虫血液检查
18255,诊断方法,神经系统细胞学检查
18256,诊断方法,抗组蛋白抗体
18257,诊断方法,小指屈指试验
18258,诊断方法,皮肤病的物理检查
18259,诊断方法,毒素皮肤试验
18260,诊断方法,阴囊超声检查
18261,诊断方法,血清载脂蛋白a测定
18262,诊断方法,尿亚硝酸盐
18263,诊断方法,寄生虫检查的浓聚法
18264,诊断方法,部分凝血活酶活性时间
18265,诊断方法,尿含铁血红黄素
18266,诊断方法,白带检查
18267,诊断方法,谷胱甘肽S转移酶
18268,诊断方法,尿17-生酮类固醇
18269,诊断方法,肺量计检测
18270,诊断方法,滑膜液常规检查
18271,诊断方法,羊膜镜检查
18272,诊断方法,伸肌紧张试验
18273,诊断方法,随意运动检查
18274,诊断方法,凝集实验
18275,诊断方法,刮宫检查
18276,诊断方法,尿α1-微球蛋白
18277,诊断方法,腹部透视
18278,诊断方法,血浆渗透压（POP）
18279,诊断方法,促甲状腺激素释放激素兴奋试验
18280,诊断方法,坐位旋转试验
18281,诊断方法,血浆内皮素测定
18282,诊断方法,前鼻镜检查
18283,诊断方法,闭孔内肌试验
18284,诊断方法,选择蛋白指数（SPI）
18285,诊断方法,过敏原检测仪
18286,诊断方法,动态血压监测(ABPM)
18287,诊断方法,二硝基氟苯皮肤试验
18288,诊断方法,血清骨钙素（BGP）
18289,诊断方法,血清N-乙酰-β-氨基葡萄糖酶（NAG）
18290,诊断方法,自身溶血试验
18291,诊断方法,ABO血型鉴定
18292,诊断方法,鼻部功能检查
18293,诊断方法,ASO试验
18294,诊断方法,红斑狼疮细胞(LEC)
18295,诊断方法,外-斐二氏反应
18296,诊断方法,胎儿脐动脉收缩压与舒张压的比值
18297,诊断方法,全身骨骼疾病排查
18298,诊断方法,血浆二氢睾酮（DHT）
18299,诊断方法,维生素B1
18300,诊断方法,骨骼动诊
18301,诊断方法,尿铁（Fe）
18302,诊断方法,脑脊液氯化物
18303,诊断方法,肾血浆流量
18304,诊断方法,抗平滑肌抗体
18305,诊断方法,脑血流图
18306,诊断方法,"抗神经元核抗体(Hu,Ri)"
18307,诊断方法,透明质酸
18308,诊断方法,纤维结肠镜检查
18309,诊断方法,血清α1-抗胰蛋白酶蛋白
18310,诊断方法,C-myc基因（C-myc）
18311,诊断方法,脑脊液降钙素基因相关肽
18312,诊断方法,伸腕试验
18313,诊断方法,粪便脓液
18314,诊断方法,姐妹染色单体互换
18315,诊断方法,促甲状腺激素
18316,诊断方法,血沉方程K值
18317,诊断方法,尿17-酮类固醇
18318,诊断方法,血小板粘附功能测定
18319,诊断方法,关节腔液检查
18320,诊断方法,副神经检查
18321,诊断方法,单胺氧化酶
18322,诊断方法,膀胱逼尿肌功能检查
18323,诊断方法,血清冷球蛋白（CG）
18324,诊断方法,腹部体毛检查
18325,诊断方法,阿-曼氏试验
18326,诊断方法,脑脊液天门冬氨酸氨基转移酶
18327,诊断方法,描图试验
18328,诊断方法,腹壁反射
18329,诊断方法,红细胞大小异常
18330,诊断方法,潮气容量
18331,诊断方法,血清γ-谷氨酰转肽酶同工酶
18332,诊断方法,皮肤颜色
18333,诊断方法,阴茎夜间勃起试验检查
18334,诊断方法,被动血凝测定
18335,诊断方法,脑脊液谷氨酰胺
18336,诊断方法,抗胃壁细胞抗体（APCA）
18337,诊断方法,电子肠镜
18338,诊断方法,14C呼气试验
18339,诊断方法,抗胰腺腺泡抗体(PAB)
18340,诊断方法,痰液量
18341,诊断方法,胎盘生乳素
18342,诊断方法,芬斯特弗征
18343,诊断方法,常量元素
18344,诊断方法,维生素D
18345,诊断方法,抗柯萨奇B病毒IgG抗体
18346,诊断方法,血清铁（Fe）
18347,诊断方法,甲状腺素(T4)
18348,诊断方法,红细胞压积(HCT)
18349,诊断方法,糖发酵试验
18350,诊断方法,卵巢功能检查
18351,诊断方法,纤维蛋白原测定
18352,诊断方法,阴道尿道瘘显象
18353,诊断方法,二硝基氯苯（DNCB）
18354,诊断方法,血小板黏附试验
18355,诊断方法,膀胱超声检查
18356,诊断方法,联合屈曲征
18357,诊断方法,心包积液检查
18358,诊断方法,木糖测定
18359,诊断方法,丁型肝炎病毒(HDV)
18360,诊断方法,胆固醇酯与总胆固醇比值
18361,诊断方法,幽门螺杆菌检测
18362,诊断方法,脑脊液细菌培养
18363,诊断方法,脊柱活动度
18364,诊断方法,棘形红细胞
18365,诊断方法,子宫颈黏液检查
18366,诊断方法,肾动态显像
18367,诊断方法,尿卟胆原
18368,诊断方法,狼疮带试验
18369,诊断方法,窦道及瘘管造影
18370,诊断方法,ECT检查
18371,诊断方法,血块收缩试验
18372,诊断方法,热放散试验
18373,诊断方法,全血铅
18374,诊断方法,Nagel色觉镜检查法
18375,诊断方法,抗巨细胞病毒抗体（CMV－AB）
18376,诊断方法,血清冷纤维蛋白原
18377,诊断方法,血氧饱和度
18378,诊断方法,痰液中分泌型IgE
18379,诊断方法,动物实验
18380,诊断方法,血清钠
18381,诊断方法,脑脊液P物质
18382,诊断方法,组胺试验
18383,诊断方法,抗甲型肝炎病毒IgA抗体
18384,诊断方法,肝功能检查
18385,诊断方法,中性杆状核粒细胞
18386,诊断方法,鳞状上皮细胞癌抗原（SCC）
18387,诊断方法,β2-微球蛋白清除试验
18388,诊断方法,PPD试验
18389,诊断方法,血清铜
18390,诊断方法,氯丙嗪试验
18391,诊断方法,碳13尿素呼气试验
18392,诊断方法,产后检查
18393,诊断方法,蛋白C
18394,诊断方法,血浆肝素含量测定
18395,诊断方法,抗卵子透明带抗体（AZP）
18396,诊断方法,溴隐亭（BCT）抑制PRL试验
18397,诊断方法,血浆渗量检查
18398,诊断方法,胎儿生物物理相评分
18399,诊断方法,肺容量测定
18400,诊断方法,皮肤涂片显微镜检查
18401,诊断方法,肝胆动态显像
18402,诊断方法,"维生素B1（VitB1,VB1）"
18403,诊断方法,抗单链DNA(ssDNA)抗体
18404,诊断方法,葡萄糖氧化酶电极膜法
18405,诊断方法,唾液富组蛋白
18406,诊断方法,负荷试验脑血流灌注显像
18407,诊断方法,二硝基氯苯斑贴试验
18408,诊断方法,遗传筛查
18409,诊断方法,阴道触诊
18410,诊断方法,尿砷
18411,诊断方法,血清肌钙蛋白I(TnI)和肌钙蛋白T(TnT)
18412,诊断方法,儿童龋齿预防保健
18413,诊断方法,脑氧代谢显像
18414,诊断方法,颌面部检查
18415,诊断方法,隐血试验与含铁血黄素检查
18416,诊断方法,食管压力测定
18417,诊断方法,肝实质显像
18418,诊断方法,红细胞血清总胆红素
18419,诊断方法,尿路平片
18420,诊断方法,尿碱性磷酸酶（UALP）
18421,诊断方法,中性炎症细胞吞噬试验
18422,诊断方法,职业病检查项目
18423,诊断方法,鼠红细胞花环形成试验
18424,诊断方法,弗里德瑞希征
18425,诊断方法,冷热溶血试验
18426,诊断方法,脂蛋白a（Lp-a）
18427,诊断方法,尿5-羟吲哚乙酸
18428,诊断方法,肠镜
18429,诊断方法,6-酮前列腺素F1α
18430,诊断方法,尿苦杏仁酸
18431,诊断方法,脑脊液结合型髓鞘碱性蛋白
18432,诊断方法,异型淋巴细胞
18433,诊断方法,肝、胆、胰、脾的MRI检查
18434,诊断方法,乳酸（LA）
18435,诊断方法,国际标准智力测试
18436,诊断方法,落臂试验
18437,诊断方法,红细胞流动系数TK值
18438,诊断方法,血清叶酸
18439,诊断方法,酸返流试验
18440,诊断方法,于夏征
18441,诊断方法,脑脊液脑膜炎球菌抗原
18442,诊断方法,抗核抗体(ANA)或抗核因子(ANF)
18443,诊断方法,肾血管造影
18444,诊断方法,胎儿碱性蛋白（BFP）
18445,诊断方法,球囊逼出试验
18446,诊断方法,衣原体检查法
18447,诊断方法,胸腔积液一般性状检查
18448,诊断方法,肝表面状态和边缘
18449,诊断方法,过氯酸钾释放试验
18450,诊断方法,阴囊检查
18451,诊断方法,黄体生成素
18452,诊断方法,土拉伦斯杆菌凝集试验
18453,诊断方法,血清免疫球蛋白（Ig）
18454,诊断方法,桡骨膜反射
18455,诊断方法,红细胞检查
18456,诊断方法,梅毒螺旋体抗原血清试验
18457,诊断方法,高考体检
18458,诊断方法,尿羟脯氨酸
18459,诊断方法,腹部血管超声检查
18460,诊断方法,非梅毒螺旋体抗原血清试验
18461,诊断方法,提腿试验
18462,诊断方法,动脉血氧分压(PaO2)
18463,诊断方法,光学相干断层扫描（OCT）
18464,诊断方法,十二指肠钡餐造影
18465,诊断方法,肺灌注显像
18466,诊断方法,异常红细胞形态检查
18467,诊断方法,眼震电图描记法
18468,诊断方法,螺旋CT检查
18469,诊断方法,肺上皮细胞通透性（LEP）测定
18470,诊断方法,乙型肝炎核心抗体
18471,诊断方法,人工周期试验
18472,诊断方法,脑脊液胆固醇酯
18473,诊断方法,嗜中性粒细胞核鼓槌小体
18474,诊断方法,结节病抗原（Kveim）试验
18475,诊断方法,研磨试验
18476,诊断方法,极低密度脂蛋白-胆固醇
18477,诊断方法,尿液颜色
18478,诊断方法,子宫大小
18479,诊断方法,一秒用力呼气量
18480,诊断方法,粪便氯化物
18481,诊断方法,糖链抗原19-9
18482,诊断方法,精子凝集试验
18483,诊断方法,体位
18484,诊断方法,反弓抗阻试验
18485,诊断方法,尿谷草转氨酶（GOT）
18486,诊断方法,淀粉酶同工酶
18487,诊断方法,巴氏或H-E染色检查
18488,诊断方法,血清甘油三脂
18489,诊断方法,血清铁/铜比值
18490,诊断方法,拉塞格征
18491,诊断方法,EA花环激活试验
18492,诊断方法,睡眠试验
18493,诊断方法,尿游离皮质醇(UFC)
18494,诊断方法,血清补体C9含量
18495,诊断方法,子宫疾病自检
18496,诊断方法,阿米巴原虫抗原
18497,诊断方法,前列腺、精囊腺的超声检查
18498,诊断方法,凝血因子ⅩⅢ定性测定
18499,诊断方法,血红蛋白热不稳定试验
18500,诊断方法,系统胎儿超声检查
18501,诊断方法,对氨马尿酸清除率
18502,诊断方法,肠道真菌病检测
18503,诊断方法,血清纤维蛋白降解产物测定
18504,诊断方法,小白鼠毒力试验
18505,诊断方法,肝血流灌注显像
18506,诊断方法,抗促甲状腺素受体抗体（TRAb）
18507,诊断方法,IgG抗A-效价测定
18508,诊断方法,粪便酵母菌
18509,诊断方法,抗线粒体抗体
18510,诊断方法,红细胞计数(RBC)
18511,诊断方法,呼气试验
18512,诊断方法,烟碱型乙酰胆碱受体抗体
18513,诊断方法,姿势与步态
18514,诊断方法,"皮质醇结合球蛋白(CBC,CBG)"
18515,诊断方法,腹水甘油三酯
18516,诊断方法,脑脊液常规检验（CSF）
18517,诊断方法,近视力检查法
18518,诊断方法,透光试验
18519,诊断方法,巨淀粉酶
18520,诊断方法,尿沉渣细胞学
18521,诊断方法,淋巴细胞比值(LY%)
18522,诊断方法,肾脏MRI检查
18523,诊断方法,后仰位椎间孔挤压试验
18524,诊断方法,直肠-肛门运动功能测定
18525,诊断方法,腹部外形检查
18526,诊断方法,细菌学检验
18527,诊断方法,雌酮(E1)
18528,诊断方法,口腔内窥镜
18529,诊断方法,尿比重（SG）
18530,诊断方法,抗丁型肝炎病毒IgG抗体
18531,诊断方法,梳头试验
18532,诊断方法,拇收肌肌力试验
18533,诊断方法,葡萄糖-6-磷酸脱氢酶缺乏症筛查
18534,诊断方法,不孕的基础体温测定
18535,诊断方法,半胱胺酸试验
18536,诊断方法,直接抗人球蛋白试验
18537,诊断方法,颈部MRI检查
18538,诊断方法,血清砷（As）
18539,诊断方法,尿道分泌物检查
18540,诊断方法,胸部CT检查
18541,诊断方法,去甲基肾上腺素（NM）
18542,诊断方法,痰液颜色
18543,诊断方法,硝酸盐还原试验
18544,诊断方法,浆膜腔积液细胞学检查
18545,诊断方法,男性性功能测试全面测试
18546,诊断方法,前列腺检查
18547,诊断方法,C-反应蛋白检验（CRP）
18548,诊断方法,血清补体旁路途径活性
18549,诊断方法,血浆18-羟-脱氧皮质酮
18550,诊断方法,达阿马托征
18551,诊断方法,红细胞乳酸生成率
18552,诊断方法,单视标检查法
18553,诊断方法,苷-鹅脱氧胆酸
18554,诊断方法,总胆汁酸
18555,诊断方法,简易凝血酶生成试验
18556,诊断方法,胫骨后肌肌力试验
18557,诊断方法,脑脊液葡萄糖和血清葡萄糖比值
18558,诊断方法,脑电图尖波
18559,诊断方法,血清腺苷脱氨酶
18560,诊断方法,后穹窿穿刺术
18561,诊断方法,转铁蛋白饱和度
18562,诊断方法,抗戊型肝炎病毒抗体
18563,诊断方法,血清钴（Co）
18564,诊断方法,基础代谢
18565,诊断方法,肝脏及胆囊叩诊
18566,诊断方法,红细胞体积指数
18567,诊断方法,基础胃液分泌量
18568,诊断方法,中性粒细胞比例(NEUT%)
18569,诊断方法,人绒毛膜促性腺激素
18570,诊断方法,宫腔细菌培养
18571,诊断方法,肝区及胆囊叩击痛
18572,诊断方法,阴道病原体检查
18573,诊断方法,酚妥拉明阻滞试验
18574,诊断方法,胰脏触诊
18575,诊断方法,脑脊液钾
18576,诊断方法,三叉神经的面部感觉检查
18577,诊断方法,维生素B6
18578,诊断方法,弓形体筛选
18579,诊断方法,囊虫病补体结合试验
18580,诊断方法,捏鼻闭口呼气法
18581,诊断方法,脑脊液心钠素
18582,诊断方法,细胞组织化学染色
18583,诊断方法,半饱和氧分压
18584,诊断方法,脑脊液单克隆抗体检测癌细胞
18585,诊断方法,羊水渗透压
18586,诊断方法,骨髓增生程度
18587,诊断方法,支气管舒张试验
18588,诊断方法,脊柱椎体平扫
18589,诊断方法,血清酸性磷酸酶同工酶
18590,诊断方法,脐检查
18591,诊断方法,脑血流灌注断层显像
18592,诊断方法,精子制动试验
18593,诊断方法,通气贮量比
18594,诊断方法,脊柱压痛与叩击痛
18595,诊断方法,Ⅰ级产前超声检查
18596,诊断方法,毛蚴孵化法
18597,诊断方法,吞线试验
18598,诊断方法,角膜反射检查
18599,诊断方法,尿维生素C（VitC）
18600,诊断方法,耳的一般检查法
18601,诊断方法,小气脑CT扫描
18602,诊断方法,直接胆红素/间接胆红素比值
18603,诊断方法,血清运铁蛋白
18604,诊断方法,抗链球菌溶血素“O”试验
18605,诊断方法,睾丸自我检查
18606,诊断方法,全血铁
18607,诊断方法,四肢透视
18608,诊断方法,触觉
18609,诊断方法,"c-erbB-2基因检测（c-erbB-2,neu,HER-2）"
18610,诊断方法,抗胰岛细胞抗体（ICA）
18611,诊断方法,双气囊小肠镜
18612,诊断方法,血清钙
18613,诊断方法,尿流率测定
18614,诊断方法,维生素B2
18615,诊断方法,肝胶体显像
18616,诊断方法,细菌感染免疫检测
18617,诊断方法,声阻抗检查
18618,诊断方法,糖链抗原50
18619,诊断方法,纤维连接蛋白
18620,诊断方法,睾酮
18621,诊断方法,"脱氢异雄酮(DHEA,DHA)"
18622,诊断方法,胆道支架引流（ERBD）
18623,诊断方法,血清α1-微球蛋白
18624,诊断方法,尿环磷酸鸟苷
18625,诊断方法,血清C1q
18626,诊断方法,精液细菌
18627,诊断方法,粪便淀粉颗粒
18628,诊断方法,精液量
18629,诊断方法,脑脊液C-反应蛋白
18630,诊断方法,尿N-乙酰β-D氨基葡萄糖苷酶
18631,诊断方法,EB病毒壳抗原IgA抗体
18632,诊断方法,血管造影
18633,诊断方法,流行性出血热病毒抗体
18634,诊断方法,肝脏疾病超声诊断
18635,诊断方法,胸腔积液显微镜检查
18636,诊断方法,血清胆固醇酯
18637,诊断方法,非接触眼压计
18638,诊断方法,前列腺液中淀粉样体
18639,诊断方法,真菌组织病理学
18640,诊断方法,粪钾
18641,诊断方法,阴道分泌物细胞学检查
18642,诊断方法,脑池显象
18643,诊断方法,凝血时间
18644,诊断方法,紧张度与动脉壁状态
18645,诊断方法,尿素
18646,诊断方法,丙氨酸氨基转移酶(ALT）
18647,诊断方法,羊水检查
18648,诊断方法,输尿管镜检查
18649,诊断方法,中性粒细胞计数（NEUT）
18650,诊断方法,尿微量清蛋白（mA1B）
18651,诊断方法,垂体后叶素
18652,诊断方法,宫颈粘液相合试验
18653,诊断方法,脑电图棘波
18654,诊断方法,抗肝细胞膜抗原抗体
18655,诊断方法,红外热象图检查
18656,诊断方法,猪囊虫抗体
18657,诊断方法,c肽释放试验
18658,诊断方法,血支原体抗体测定
18659,诊断方法,血清铝
18660,诊断方法,雌二醇
18661,诊断方法,抗肝细胞膜抗原抗体(ALMA)
18662,诊断方法,子宫内膜活检
18663,诊断方法,"白蛋白(A,Alb)"
18664,诊断方法,B因子溶血活性
18665,诊断方法,尿液颜色（UCO）
